id,name
10kswap-starknet-alpha,10KSwap
9inch,9inch
9mm-v3,9mm V3 (Pulsechain)
9mm-v3-base,9mm V3 (Base)
9mm-v3-sonic,9mm V3 (Sonic)
aboard-exchange,Aboard Exchange
abstradex,AbstraDEX
acala_swap,Acala Swap
aerodrome-base,Aerodrome (Base)
aerodrome-slipstream,Aerodrome SlipStream
aevo,Aevo
aftermath_finance,Aftermath Finance
agni-finance,Agni Finance
aktionariat-ethereum,Aktionariat (Ethereum)
alcor,Alcor
alexgo,ALEX
alien-base,Alien Base
alien-base-v3,Alien Base V3
allinxswap-opbnb,AllInXSwap (opBnb)
altcointrader,AltcoinTrader
alterdice,AlterDice
amaterasu,Amaterasu Finance
animeswap,Animeswap
antfarm-avalanche,Antfarm (Avalanche)
antfarm-ethereum,Antfarm (Ethereum) 
apertureswap,ApertureSwap
apeswap-arbitrum,Apeswap (Arbitrum)
apeswap_bsc,ApeSwap
apeswap_polygon,ApeSwap (Polygon)
apeswap_telos,Apeswap (Telos)
apex-omni,ApeX Omni
apex_pro,ApeX Pro
aprobit,Aprobit
aquarius,Aquarius
aquaspace,AquaSpace
aqx,AQX
aqx_derivatives,Flipster
arbidex,Arbidex
arbswap_arbitrum_one,Arbswap
archerswap,Archerswap
arena-dex,Arena DEX
arkham,Arkham
arkham_futures,Arkham (Futures)
armada,Armada
artexswap,ArtexSwap
arthswap,ArthSwap
arthswap-astar-zkevm,ArthSwap (Astar zkEVM)
ashswap,Ashswap
astra,Astra
astroport_injective,Astroport (Injective)
astroport_neutron,Astroport (Neutron)
astroport_osmosis,Astroport (Osmosis)
astroport-sei,Astroport (Sei)
astroport_v2,Astroport V2
astrovault,Astrovault
auriswap,Auriswap
auroraswap,AuroraSwap
autoshark_finance,AutoShark Finance
aux,AUX Exchange
ayin,AYIN
azbit,Azbit
azomi,Azomi
babydogeswap,BabyDogeSwap
babyswap,BabySwap
backpack_exchange,Backpack Exchange 
backpack-futures,Backpack (Futures)
baguette,Baguette
bakeryswap,Bakeryswap
bakeryswap-base,BakerySwap (Base)
balanced_network,Balanced
balancer,Balancer V2
balancer_arbitrum,Balancer V2 (Arbitrum)
balancer-gnosis,Balancer V2 (Gnosis)
balancer_polygon,Balancer V2 (Polygon)
balancer-v2-avalanche,Balancer V2 (Avalanche)
balancer-v2-base,Balancer V2 (Base)
balancer-v2-fraxtal,Balancer V2 (Fraxtal)
balancer-v2-mode,Balancer V2 (Mode)
balancer-v2-polygon-zkevm,Balancer V2 (Polygon zkEVM) 
bancor,Bancor (V2)
bancor_v3,Bancor (V3)
baptswap,BAPTSwap
baryon_network,Baryon Network
baryon-network-viction,BaryonSwap (Viction)
baseswap,BaseSwap
baseswap-v3,BaseSwap V3
basex,BaseX
basin-arbitrum-one,Basin
bcex,BCEX
beamswap,Beamswap
beam-swap,Beam Swap
beethovenx,Beethoven X
beethoven_x_optimism,Beethoven X (Optimism)
beets-sonic,Beets (Sonic)
beezee-dex,BeeZee DEX
befilabs,BeFi Labs
bevmswap,BEVMSwap
bex,BEX
bibox,Bibox
bibox_futures,Bibox (Futures)
biconomy,Biconomy.com
biconomy-futures,Biconomy (Futures)
bifrost_swap,Bifrost Swap
bigone,BigONE
bigone_futures,BigONE Futures
bilaxy,Bilaxy
binance,Binance
binance_futures,Binance (Futures)
binance_us,Binance US
bingx,BingX
bingx_futures,BingX (Futures)
birake,Birake
biswap,Biswap
biswap-v3-1,Biswap V3
bit2c,Bit2c
bit2me,Bit2Me
bitazza,Bitazza
bitbank,Bitbank
bitbay,zondacrypto
bitbns,BitBNS
bitcastle,bitcastle
bitci,Bitci TR
bitcoin_com,FMFW.io
bitcointry_exchange,Bitcointry
bit_com,BIT
bitdelta,BitDelta
bitdrome-finance,Bitdrome Finance
bitexbook,BITEXBOOK
bitexen,Bitexen
bitexlive,Bitexlive
bitfinex,Bitfinex
bitfinex_futures,Bitfinex (Futures)
bitflow,Bitflow
bitflyer,bitFlyer
bitflyer_futures,Bitflyer (Futures)
bitgenie-merlin-chain,BitGenie
bitget,Bitget
bitget_futures,Bitget Futures
bithumb,Bithumb
bitker,BITKER
bitkub,Bitkub
bitlo,Bitlo
bitmake,BitMake
bitmake_futures,BitMake Futures
bitmart,BitMart
bitmart_futures,Bitmart Futures
bitmax,AscendEX (BitMax)
bitmax_futures,AscendEX  (BitMax) (Futures)
bitmex,BitMEX (Derivative)
bitmex_spot,BitMEX
bitonbay,BitOnBay
bitopro,BitoPro
bitpanda,One Trading
bitrue,Bitrue
bitrue_futures,Bitrue (Futures)
bitso,Bitso
bitstamp,Bitstamp
bitsten,Bitsten
bitstorage,BitStorage
bitswap,BitSwap
bitswap-v2-bouncebit,BitSwap V2 (BounceBit)
bitswap-v3-bouncebit,BitSwap V3 (BounceBit) 
bittime,Bittime
bitunix,Bitunix
bitunix_futures,Bitunix Futures
bitvavo,Bitvavo
bitvenus,BVOX (Futures)
bitvenus_spot,BVOX
bladeswap,BladeSwap
blasterswap,BlasterSwap
blasterswap-v3,Blasterswap V3
blazeswap,Blazeswap (Songbird)
blazeswap-flare,BlazeSwap (Flare) 
blitz,Blitz
blockchain_com,Blockchain.com
blofin,BloFin (Futures)
blofin_spot,BloFin
bluefin,Bluefin
bluefin_futures,Bluefin (Futures)
bluelotusdao,BlueLotusDAO
bluemove,BlueMove
blueprint,Blueprint
blueshift,Blueshift
btc_alpha,BTC-Alpha
btcbox,BTCBOX
btcc,BTCC
btcmarkets,BTCMarkets
btc_trade_ua,BTC Trade UA
btcturk,BtcTurk | Kripto
btse,BTSE
btse_futures,BTSE (Futures)
bulbaswap-v2,Bulbaswap V2
bulla,Bulla
bullish_com,Bullish
bunnyswap,BunnySwap
burrbear,Burrbear
butter-xyz,Butter.xyz
buyucoin,BuyUcoin
bw,BWFX.pro
bybit,Bybit (Futures)
bybit_spot,Bybit
bydfi,BYDFi
bydfi-futures,BYDFi (Futures)
byte-exchange,Byte Exchange
camelot,Camelot
camelot-sanko,Camelot V3 (Sanko)
camelot-v2-apechain,Camelot V2 (ApeChain)
camelot-v2-educhain,Camelot V2 (EDU Chain)
camelot-v3,Camelot V3
camelot-v3-corn,Camelot V3 (Corn)
camelot-v3-edu-chain,Camelot V3 (EDU Chain)
camelot-v3-gravity,Camelot V3 (Gravity)
canto_dex,Canto Dex
capybaradex-v2,CapybaraDEX V2
capybaradex-v3,CapybaraDEX V3
carbon,Carbon Defi (Ethereum)
carbon-defi-celo,Carbon DeFi (Celo)
carbon-defi-seiv2,Carbon DeFi (Sei V2)
catex,Catex
caviarnine,CaviarNine
cellana-finance,Cellana Finance
cetoswap,Cetoswap (Manta Pacific)
cetus,Cetus
cex,CEX.IO
chainex,ChainEX
chainflip,Chainflip
changelly,Changelly PRO
changenow,ChangeNOW
cherryswap,CherrySwap
chronos,Chronos
citex,CITEX
claimswap,Claimswap
cleopatra-exchange,Cleopatra Exchange
clipper-arbitrum,Clipper (Arbitrum)
clipper_ethereum,Clipper (Ethereum)
clipper_optimism,Clipper (Optimism)
clipper_polygon,Clipper (Polygon)
cme_futures,CME Group
coinbase_international,Coinbase International Exchange
coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
coincall,Coincall
coincatch,CoinCatch
coincatch_derivatives,CoinCatch Derivatives
coincheck,Coincheck
coindcx,CoinDCX
coinex,CoinEx
coinex_futures,CoinEx (Futures)
coinjar,CoinJar Exchange
coinlist,Coinlist
coin_metro,Coinmetro
coinone,Coinone
coinspro,Coins.ph
coinstore,Coinstore
coinswap,CoinSwap
cointr,CoinTR
coinw,CoinW
coinw_futures,CoinW (Futures)
coinzoom,Coinzoom
comethswap,ComethSwap
common,Common
concave,Concave
convergence-finance-v2,Convergence Finance
corex,COREx
c_patex,C-Patex
